(-45.375298368664652, 0.1, 0.5);[204, 179]
(-51.297204062394805, 0.1, 0.5);[168, 156]
(-161.44304983752974, 0.2, 0.30000000000000004);[157, 188]
(-100.49015867936868, 0.4, 0.6000000000000001);[114, 201]
(-173.60002138061614, 0.6000000000000001, 0.6000000000000001);[154, 199]
(-55.291984136976637, 0.1, 0.5);[168, 200]
(-34.729476839781356, 0.1, 0.6000000000000001);[81, 174]
(-54.239277510102724, 0.1, 0.5);[139, 239]
(-145.3732985001709, 0.1, 0.2);[164, 194]
(-126.8818920895955, 0.1, 0.2);[172, 201]
(-98.550080356079192, 0.1, 0.30000000000000004);[172, 206]
(-67.906548894219966, 0.1, 0.4);[175, 173]
(-49.663589224897933, 0.1, 0.5);[179, 196]
(-54.728697203089027, 0.1, 0.5);[178, 184]
(-44.545923562184072, 0.2, 0.7000000000000001);[144, 198]
(-198.04305977764193, 0.1, 0.1);[152, 192]
(-217.92139537394326, 0.30000000000000004, 0.30000000000000004);[157, 190]
(-87.743396183397181, 0.1, 0.30000000000000004);[161, 204]
(-40.421353490510818, 0.2, 0.7000000000000001);[142, 236]
(-366.15103280880464, 0.4, 0.2);[164, 204]
(-236.28472813060841, 0.2, 0.2);[153, 201]
(-45.190068047407195, 0.1, 0.5);[161, 199]
(-66.266970910123987, 0.1, 0.4);[171, 228]
(-85.090268595146838, 0.5, 0.7000000000000001);[129, 213]
(-44.938765429138947, 0.1, 0.5);[181, 201]
(-35.635946278832897, 0.1, 0.6000000000000001);[136, 195]
(-138.25633440444466, 0.4, 0.5);[153, 188]
(-79.288268642967878, 0.1, 0.4);[143, 193]
(-39.555328049767496, 0.30000000000000004, 0.8);[182, 213]
(-35.167635277070481, 0.1, 0.6000000000000001);[168, 215]
(-98.632817500379261, 0.1, 0.30000000000000004);[107, 264]
(-58.941076587829635, 0.2, 0.6000000000000001);[171, 153]
(-40.445059561908174, 0.2, 0.7000000000000001);[137, 176]
(-49.755814650915944, 0.1, 0.5);[168, 180]
(-35.243554900616608, 0.1, 0.6000000000000001);[171, 228]
(-58.756642793492063, 0.2, 0.6000000000000001);[147, 190]
(-62.776534796584961, 0.2, 0.6000000000000001);[146, 196]
(-154.92239174415303, 0.1, 0.2);[161, 199]
(-45.11323126410516, 0.1, 0.5);[150, 225]
(-99.159800701308441, 0.1, 0.30000000000000004);[160, 210]
(-220.75807442704038, 0.30000000000000004, 0.30000000000000004);[151, 209]
(-312.2017950042183, 0.5, 0.30000000000000004);[162, 205]
(-61.431206830229499, 0.5, 0.8);[142, 212]
